counterpart_name,entity_name,category,value,value_annotation
Cayman Islands,Low & middle income,private,3417928721.4,US$3.4 billion
Greece,Low & middle income,private,8215000.0,US$8.2 million
Greece,Low & middle income,bilateral,96793590.2,US$96.8 million
Switzerland,Low & middle income,private,4708981951.2,US$4.7 billion
Tanzania,Low & middle income,bilateral,35157000.0,US$35.2 million
Italy,Low & middle income,bilateral,3089522956.9,US$3.1 billion
Italy,Low & middle income,private,3002909180.3,US$3.0 billion
Belgium,Low & middle income,private,1409589776.8999999,US$1.4 billion
Belgium,Low & middle income,bilateral,638552640.4,US$638.6 million
Equatorial Guinea,Low & middle income,bilateral,30092063.9,US$30.1 million
Arab Bank for Economic Dev. in Africa (BADEA),Low & middle income,multilateral,2270352969.1,US$2.3 billion
Arab Bank for Economic Dev. in Africa (BADEA),Low & middle income,private,0.0,US$0
Nigeria,Low & middle income,bilateral,11293290.3,US$11.3 million
Grenada,Low & middle income,private,0.0,US$0
Eurasian Development Bank,Low & middle income,multilateral,2479891164.4,US$2.5 billion
New Development Bank (NDB),Low & middle income,multilateral,10697646350.0,US$10.7 billion
European Bank for Reconstruction and Dev. (EBRD),Low & middle income,multilateral,10607739683.8,US$10.6 billion
Netherlands,Low & middle income,private,74757580724.6,US$74.8 billion
Netherlands,Low & middle income,bilateral,591238370.1,US$591.2 million
Viet Nam,Low & middle income,bilateral,121641000.0,US$121.6 million
European Development Fund (EDF),Low & middle income,multilateral,914854774.0,US$914.9 million
"Venezuela, Republic Bolivarian",Low & middle income,bilateral,665341259.3,US$665.3 million
Thailand,Low & middle income,bilateral,757776063.4,US$757.8 million
Thailand,Low & middle income,private,12647000.0,US$12.6 million
Belarus,Low & middle income,bilateral,35093315.2,US$35.1 million
Togo,Low & middle income,private,46533412.7,US$46.5 million
Namibia,Low & middle income,bilateral,1146769.0,US$1.1 million
West African Development Bank - BOAD,Low & middle income,multilateral,2838280334.0,US$2.8 billion
Guyana,Low & middle income,private,948000.0,"US$948,000"
Switzerland,Low & middle income,bilateral,290319051.3,US$290.3 million
Honduras,Low & middle income,bilateral,118637000.0,US$118.6 million
Czechia,Low & middle income,private,476295188.7,US$476.3 million
St. Lucia,Low & middle income,private,336296.3,"US$336,296"
Denmark,Low & middle income,bilateral,517853181.1,US$517.9 million
Israel,Low & middle income,bilateral,2996815.4,US$3.0 million
Israel,Low & middle income,private,4250194271.7,US$4.3 billion
Denmark,Low & middle income,private,361592093.8,US$361.6 million
Angola,Low & middle income,bilateral,400478000.0,US$400.5 million
St. Vincent & The Grenadines,Low & middle income,private,0.0,US$0
Bolivarian Alliance for the Americas (ALBA),Low & middle income,multilateral,50848000.0,US$50.8 million
Hong Kong,Low & middle income,private,7019885046.8,US$7.0 billion
Benin,Low & middle income,bilateral,68245.6,"US$68,246"
Dev. Bank of the Central African States (BDEAC),Low & middle income,multilateral,390085257.2,US$390.1 million
Belize,Low & middle income,bilateral,1000000.0,US$1 million
Norway,Low & middle income,private,11396733.0,US$11.4 million
Norway,Low & middle income,bilateral,445185687.4,US$445.2 million
Arab African International Bank,Low & middle income,multilateral,31149000.0,US$31.1 million
ECO Trade and Dev. Bank,Low & middle income,multilateral,156698363.1,US$156.7 million
EUROFIMA,Low & middle income,multilateral,1687173.6,US$1.7 million
Eastern & Southern African Trade & Dev. Bank (TDB),Low & middle income,multilateral,2234218793.4,US$2.2 billion
Sweden,Low & middle income,bilateral,2355340416.7,US$2.4 billion
Sweden,Low & middle income,private,228658716.2,US$228.7 million
Nordic Environment Finance Corporation (NEFCO),Low & middle income,multilateral,3479772.4,US$3.5 million
Economic Community of West African States (ECOWAS),Low & middle income,multilateral,755032372.7,US$755.0 million
Nordic Development Fund,Low & middle income,multilateral,508864958.2,US$508.9 million
Egypt,Low & middle income,bilateral,187736000.0,US$187.7 million
Egypt,Low & middle income,private,76632000.0,US$76.6 million
Honduras,Low & middle income,private,22059000.0,US$22.1 million
Barbados,Low & middle income,private,582222.2,"US$582,222"
Barbados,Low & middle income,bilateral,3355000.0,US$3.4 million
Multiple Lenders,Low & middle income,private,205762230207.7,US$205.8 billion
Trinidad & Tobago,Low & middle income,bilateral,37680146.4,US$37.7 million
"Korea, D.P.R. of",Low & middle income,bilateral,0.0,US$0
Malaysia,Low & middle income,private,50000000.0,US$50 million
Malaysia,Low & middle income,bilateral,83207932.3,US$83.2 million
European Relief Fund,Low & middle income,multilateral,1049289000.0,US$1.0 billion
European Social Fund (ESF),Low & middle income,multilateral,586978500.0,US$587.0 million
Argentina,Low & middle income,bilateral,10408000.0,US$10.4 million
Luxembourg,Low & middle income,private,600916589.4,US$600.9 million
European Union,Low & middle income,multilateral,47554239790.5,US$47.6 billion
Armenia,Low & middle income,bilateral,1015000.0,US$1.0 million
Libya,Low & middle income,bilateral,1113172532.7,US$1.1 billion
Finland,Low & middle income,bilateral,203815684.8,US$203.8 million
Finland,Low & middle income,private,40675511.9,US$40.7 million
United Arab Emirates,Low & middle income,bilateral,7813881653.1,US$7.8 billion
United Arab Emirates,Low & middle income,private,6315337400.099999,US$6.3 billion
"Korea, Republic of",Low & middle income,bilateral,9599106755.6,US$9.6 billion
"Korea, Republic of",Low & middle income,private,209126859.2,US$209.1 million
Australia,Low & middle income,private,119989281.0,US$120.0 million
Australia,Low & middle income,bilateral,2770175411.1,US$2.8 billion
Liberia,Low & middle income,private,807395.3,"US$807,395"
Kuwait,Low & middle income,private,333370211.79999995,US$333.4 million
Asian Dev. Bank   ,Low & middle income,multilateral,149192461000.0,US$149.2 billion
Kuwait,Low & middle income,bilateral,12845091825.5,US$12.8 billion
Asian Infrastructure Investment Bank,Low & middle income,multilateral,22261485968.9,US$22.3 billion
France,Low & middle income,bilateral,37710730801.0,US$37.7 billion
France,Low & middle income,private,17415253725.3,US$17.4 billion
United Kingdom,Low & middle income,bilateral,1244677807.4,US$1.2 billion
United Kingdom,Low & middle income,private,30625990481.2,US$30.6 billion
Kazakhstan,Low & middle income,bilateral,1252000.0,US$1.3 million
Czechia,Low & middle income,bilateral,393560662.7,US$393.6 million
Arab Towns Organization (ATO),Low & middle income,multilateral,207825.9,"US$207,826"
Austria,Low & middle income,bilateral,617092565.0,US$617.1 million
Multiple Lenders,Low & middle income,multilateral,825522010.8,US$825.5 million
Multiple Lenders,Low & middle income,bilateral,18875220249.3,US$18.9 billion
European Economic Community (EEC),Low & middle income,multilateral,34256034.9,US$34.3 million
Trinidad & Tobago,Low & middle income,private,3505185.2,US$3.5 million
United States,Low & middle income,private,24229136025.199997,US$24.2 billion
Arab Fund for Economic & Social Development,Low & middle income,multilateral,9137828402.3,US$9.1 billion
United States,Low & middle income,bilateral,3069004478.2,US$3.1 billion
Bahrain,Low & middle income,private,1537628517.4,US$1.5 billion
"Germany, Fed. Rep. of",Low & middle income,private,12306509326.2,US$12.3 billion
"Germany, Fed. Rep. of",Low & middle income,bilateral,30152736270.5,US$30.2 billion
Japan,Low & middle income,bilateral,105904619944.4,US$105.9 billion
Japan,Low & middle income,private,7954463900.5,US$8.0 billion
Bahamas,Low & middle income,private,750000.0,"US$750,000"
European Investment Bank,Low & middle income,multilateral,31865773899.7,US$31.9 billion
Azerbaijan,Low & middle income,bilateral,1151000.0,US$1.2 million
Turkiye,Low & middle income,bilateral,879167336.1,US$879.2 million
Turkiye,Low & middle income,private,19447169.1,US$19.4 million
Turkmenistan,Low & middle income,bilateral,211000.0,"US$211,000"
UN-General Assembly (UNGA),Low & middle income,multilateral,3571000.0,US$3.6 million
UN-Population Fund (UNFPA),Low & middle income,multilateral,84615000.0,US$84.6 million
Uganda,Low & middle income,private,681000.0,"US$681,000"
Arab Monetary Fund,Low & middle income,multilateral,2676086161.1,US$2.7 billion
Morocco,Low & middle income,private,0.0,US$0
Morocco,Low & middle income,bilateral,7000000.0,US$7 million
Montenegro,Low & middle income,private,10389.0,"US$10,389"
Mauritius,Low & middle income,private,100059545.9,US$100.1 million
Austria,Low & middle income,private,8550916877.0,US$8.6 billion
Mali,Low & middle income,bilateral,53.8,US$54
Hungary,Low & middle income,bilateral,1814423781.7,US$1.8 billion
Nordic Investment Bank,Low & middle income,multilateral,40106507.5,US$40.1 million
St. Kitts And Nevis,Low & middle income,private,0.0,US$0
Inter-American Dev. Bank      ,Low & middle income,multilateral,95886700000.0,US$95.9 billion
Qatar,Low & middle income,private,240000000.0,US$240 million
Qatar,Low & middle income,bilateral,91599500.0,US$91.6 million
Portugal,Low & middle income,private,1035276575.8000001,US$1.0 billion
Indonesia,Low & middle income,bilateral,193000.0,"US$193,000"
International Fund for Agricultural Dev.,Low & middle income,multilateral,7855009510.5,US$7.9 billion
Portugal,Low & middle income,bilateral,1002934087.4,US$1.0 billion
"Iran, Islamic Republic Of",Low & middle income,bilateral,291106654.0,US$291.1 million
Bulgaria,Low & middle income,private,104539312.5,US$104.5 million
Bulgaria,Low & middle income,bilateral,91809000.0,US$91.8 million
Iraq,Low & middle income,bilateral,394171985.6,US$394.2 million
Hungary,Low & middle income,private,5783000.0,US$5.8 million
Ireland,Low & middle income,bilateral,1643460.6,US$1.6 million
Ireland,Low & middle income,private,2579611471.6,US$2.6 billion
South Africa,Low & middle income,private,2720987764.6,US$2.7 billion
South Asian Development Fund (SADF),Low & middle income,multilateral,7222000.0,US$7.2 million
Brazil,Low & middle income,private,120421000.0,US$120.4 million
Brazil,Low & middle income,bilateral,703952000.0,US$704.0 million
Poland,Low & middle income,private,7491865.1,US$7.5 million
Poland,Low & middle income,bilateral,466510884.1,US$466.5 million
Colombia,Low & middle income,private,308000000.0,US$308 million
"Congo, Rep.",Low & middle income,bilateral,89167790.3,US$89.2 million
India,Low & middle income,private,19772264.9,US$19.8 million
Romania,Low & middle income,bilateral,270882000.0,US$270.9 million
International Bank for Economic Cooperation (IBEC),Low & middle income,multilateral,0.0,US$0
African Dev. Bank         ,Low & middle income,multilateral,47102010713.1,US$47.1 billion
Romania,Low & middle income,private,6450000.0,US$6.5 million
Central American Bank for Econ. Integration (BCIE),Low & middle income,multilateral,9594806206.3,US$9.6 billion
Central Bank of West African States (BCEAO),Low & middle income,multilateral,308906085.0,US$308.9 million
World Trade Organization,Low & middle income,multilateral,39166530.0,US$39.2 million
Africa Finance Corporation,Low & middle income,private,1222875733.0,US$1.2 billion
Caribbean Dev. Bank,Low & middle income,multilateral,1139800330.7,US$1.1 billion
World Bank-MIGA,Low & middle income,multilateral,302270032.8,US$302.3 million
Chad,Low & middle income,bilateral,372.2,US$372
World Bank-IDA                         ,Low & middle income,multilateral,209337619000.0,US$209.3 billion
Saudi Arabia,Low & middle income,bilateral,20178362906.2,US$20.2 billion
Saudi Arabia,Low & middle income,private,19060000.0,US$19.1 million
Caribbean Community (CARICOM),Low & middle income,multilateral,14921000.0,US$14.9 million
India,Low & middle income,bilateral,13745202381.9,US$13.7 billion
Senegal,Low & middle income,bilateral,240.7,US$241
Serbia,Low & middle income,private,260991214.9,US$261.0 million
Canada,Low & middle income,private,265520000.0,US$265.5 million
Canada,Low & middle income,bilateral,6254857629.1,US$6.3 billion
Singapore,Low & middle income,private,8945793464.5,US$8.9 billion
Slovenia,Low & middle income,private,0.0,US$0
China,Low & middle income,bilateral,147554187164.3,US$147.6 billion
China,Low & middle income,private,22393002524.7,US$22.4 billion
Russian Federation,Low & middle income,private,428227932.6,US$428.2 million
Russian Federation,Low & middle income,bilateral,32122507497.5,US$32.1 billion
Cameroon,Low & middle income,bilateral,22626089.9,US$22.6 million
International Finance Corporation,Low & middle income,multilateral,584605162.8,US$584.6 million
Serbia,Low & middle income,bilateral,541961620.8,US$542.0 million
Bosnia-Herzegovina,Low & middle income,private,28444000.0,US$28.4 million
South Africa,Low & middle income,bilateral,609546489.3,US$609.5 million
Algeria,Low & middle income,bilateral,788314377.3,US$788.3 million
"Cote D`Ivoire, Republic Of",Low & middle income,private,642562134.9,US$642.6 million
Pakistan,Low & middle income,bilateral,14298000.0,US$14.3 million
Council of Europe,Low & middle income,multilateral,2893367955.0,US$2.9 billion
Sri Lanka,Low & middle income,private,63106000.0,US$63.1 million
Panama,Low & middle income,private,81275000.0,US$81.3 million
Spain,Low & middle income,private,2344063841.9,US$2.3 billion
Spain,Low & middle income,bilateral,2952526574.5,US$3.0 billion
Islamic Dev. Bank,Low & middle income,multilateral,18937455478.8,US$18.9 billion
World Bank-IBRD                         ,Low & middle income,multilateral,253755222000.0,US$253.8 billion
OPEC Fund for International Dev.,Low & middle income,multilateral,5430128318.0,US$5.4 billion
Costa Rica,Low & middle income,bilateral,315316000.0,US$315.3 million
Org. of Arab Petroleum Exporting Countries (OAPEC),Low & middle income,multilateral,35580000.0,US$35.6 million
Croatia,Low & middle income,private,5629000.0,US$5.6 million
Croatia,Low & middle income,bilateral,39903000.0,US$39.9 million
Plata Basin Financial Dev. Fund,Low & middle income,multilateral,1757805653.9,US$1.8 billion
Peru,Low & middle income,bilateral,16563000.0,US$16.6 million
African Export-Import Bank,Low & middle income,multilateral,10346941126.1,US$10.3 billion
Corporacion Andina de Fomento,Low & middle income,multilateral,22542704811.0,US$22.5 billion
Islamic Solidarity Fund for Dev. (ISFD),Low & middle income,multilateral,18718516.0,US$18.7 million
Oman,Low & middle income,bilateral,89507000.0,US$89.5 million
Peru,Low & middle income,private,53000000.0,US$53 million
Bondholders,Low & middle income,private,1637230691530.6,US$1.6 trillion
"Cote D`Ivoire, Republic Of",Low & middle income,bilateral,46722094.7,US$46.7 million
Russian Federation,Afghanistan,bilateral,849119000.0,US$849.1 million
World Bank-IDA                         ,Afghanistan,multilateral,279735000.0,US$279.7 million
"Iran, Islamic Republic Of",Afghanistan,bilateral,9139000.0,US$9.1 million
Saudi Arabia,Afghanistan,bilateral,79376533.4,US$79.4 million
Asian Dev. Bank   ,Afghanistan,multilateral,491072000.0,US$491.1 million
Bulgaria,Afghanistan,bilateral,4201000.0,US$4.2 million
OPEC Fund for International Dev.,Afghanistan,multilateral,1484000.0,US$1.5 million
Islamic Dev. Bank,Afghanistan,multilateral,36104967.2,US$36.1 million
Italy,Afghanistan,bilateral,22128570.0,US$22.1 million
Kuwait,Afghanistan,bilateral,22360772.9,US$22.4 million
Denmark,Africa (excluding high income),private,297105493.0,US$297.1 million
Dev. Bank of the Central African States (BDEAC),Africa (excluding high income),multilateral,390085257.2,US$390.1 million
South Africa,Africa (excluding high income),bilateral,600669489.3,US$600.7 million
Saudi Arabia,Africa (excluding high income),private,19060000.0,US$19.1 million
Denmark,Africa (excluding high income),bilateral,74191953.2,US$74.2 million
France,Africa (excluding high income),bilateral,15239669221.7,US$15.2 billion
France,Africa (excluding high income),private,10116231491.199999,US$10.1 billion
Chad,Africa (excluding high income),bilateral,372.2,US$372
Mali,Africa (excluding high income),bilateral,53.8,US$54
Benin,Africa (excluding high income),bilateral,68245.6,"US$68,246"
Asian Infrastructure Investment Bank,Africa (excluding high income),multilateral,736214046.1,US$736.2 million
Saudi Arabia,Africa (excluding high income),bilateral,12031213239.6,US$12.0 billion
Mauritius,Africa (excluding high income),private,99434545.9,US$99.4 million
Central Bank of West African States (BCEAO),Africa (excluding high income),multilateral,308906085.0,US$308.9 million
OPEC Fund for International Dev.,Africa (excluding high income),multilateral,2359828010.3,US$2.4 billion
Czechia,Africa (excluding high income),private,184822387.8,US$184.8 million
Canada,Africa (excluding high income),private,49996000.0,US$50.0 million
Morocco,Africa (excluding high income),bilateral,7000000.0,US$7 million
Liberia,Africa (excluding high income),private,807395.3,"US$807,395"
European Social Fund (ESF),Africa (excluding high income),multilateral,311670000.0,US$311.7 million
Czechia,Africa (excluding high income),bilateral,225362662.7,US$225.4 million
Malaysia,Africa (excluding high income),bilateral,0.0,US$0
United Kingdom,Africa (excluding high income),bilateral,1023269196.8,US$1.0 billion
Austria,Africa (excluding high income),bilateral,241778002.5,US$241.8 million
Austria,Africa (excluding high income),private,599612705.2,US$599.6 million
Senegal,Africa (excluding high income),bilateral,240.7,US$241
Morocco,Africa (excluding high income),private,0.0,US$0
Finland,Africa (excluding high income),private,5667000.0,US$5.7 million
China,Africa (excluding high income),private,20064353175.1,US$20.1 billion
Finland,Africa (excluding high income),bilateral,71470242.89999999,US$71.5 million
Bondholders,Africa (excluding high income),private,192799972775.9,US$192.8 billion
Serbia,Africa (excluding high income),bilateral,138328000.0,US$138.3 million
Luxembourg,Africa (excluding high income),private,94589906.8,US$94.6 million
Oman,Africa (excluding high income),bilateral,89507000.0,US$89.5 million
United Kingdom,Africa (excluding high income),private,13728384571.1,US$13.7 billion
China,Africa (excluding high income),bilateral,62153310834.0,US$62.2 billion
Libya,Africa (excluding high income),bilateral,1048526714.2,US$1.0 billion
European Union,Africa (excluding high income),multilateral,2181690000.0,US$2.2 billion
Sweden,Africa (excluding high income),bilateral,3405000.0,US$3.4 million
Sweden,Africa (excluding high income),private,145548277.7,US$145.5 million
Serbia,Africa (excluding high income),private,27570214.9,US$27.6 million
Canada,Africa (excluding high income),bilateral,677951914.2,US$678.0 million
Tanzania,Africa (excluding high income),bilateral,35157000.0,US$35.2 million
Multiple Lenders,Africa (excluding high income),bilateral,4151901000.0,US$4.2 billion
Netherlands,Africa (excluding high income),bilateral,191132299.1,US$191.1 million
Netherlands,Africa (excluding high income),private,1443275460.8999999,US$1.4 billion
Togo,Africa (excluding high income),private,46533412.7,US$46.5 million
Egypt,Africa (excluding high income),bilateral,187736000.0,US$187.7 million
Portugal,Africa (excluding high income),private,1035276575.8000001,US$1.0 billion
Belgium,Africa (excluding high income),bilateral,513115693.4,US$513.1 million
Belgium,Africa (excluding high income),private,1091595419.5,US$1.1 billion
Portugal,Africa (excluding high income),bilateral,979924530.1999999,US$979.9 million
European Development Fund (EDF),Africa (excluding high income),multilateral,57301568.4,US$57.3 million
Egypt,Africa (excluding high income),private,76632000.0,US$76.6 million
Spain,Africa (excluding high income),bilateral,1136886196.8000002,US$1.1 billion
Spain,Africa (excluding high income),private,1206140256.5,US$1.2 billion
New Development Bank (NDB),Africa (excluding high income),multilateral,3271954920.8,US$3.3 billion
European Bank for Reconstruction and Dev. (EBRD),Africa (excluding high income),multilateral,2545629953.5,US$2.5 billion
"Cote D`Ivoire, Republic Of",Africa (excluding high income),private,642562134.9,US$642.6 million
Nigeria,Africa (excluding high income),bilateral,11293290.3,US$11.3 million
"Cote D`Ivoire, Republic Of",Africa (excluding high income),bilateral,46722094.699999996,US$46.7 million
"Congo, Rep.",Africa (excluding high income),bilateral,89167790.3,US$89.2 million
Nordic Development Fund,Africa (excluding high income),multilateral,269626515.3,US$269.6 million
Poland,Africa (excluding high income),private,6080000.0,US$6.1 million
Equatorial Guinea,Africa (excluding high income),bilateral,30092063.900000002,US$30.1 million
Brazil,Africa (excluding high income),private,120421000.0,US$120.4 million
Thailand,Africa (excluding high income),bilateral,1293000.0,US$1.3 million
Brazil,Africa (excluding high income),bilateral,467058000.0,US$467.1 million
Poland,Africa (excluding high income),bilateral,244116677.8,US$244.1 million
Namibia,Africa (excluding high income),bilateral,1146769.0,US$1.1 million
South Africa,Africa (excluding high income),private,2720968558.4,US$2.7 billion
European Economic Community (EEC),Africa (excluding high income),multilateral,9314568.2,US$9.3 million
Panama,Africa (excluding high income),private,0.0,US$0
Multiple Lenders,Africa (excluding high income),multilateral,171685000.0,US$171.7 million
United Arab Emirates,Africa (excluding high income),private,4029950457.2,US$4.0 billion
United Arab Emirates,Africa (excluding high income),bilateral,1871233868.6000001,US$1.9 billion
Croatia,Africa (excluding high income),bilateral,39903000.0,US$39.9 million
Cameroon,Africa (excluding high income),bilateral,22626089.9,US$22.6 million
Uganda,Africa (excluding high income),private,681000.0,"US$681,000"
Russian Federation,Africa (excluding high income),private,15766932.6,US$15.8 million
UN-General Assembly (UNGA),Africa (excluding high income),multilateral,3571000.0,US$3.6 million
Russian Federation,Africa (excluding high income),bilateral,4478315084.3,US$4.5 billion
Org. of Arab Petroleum Exporting Countries (OAPEC),Africa (excluding high income),multilateral,7219000.0,US$7.2 million
Bahamas,Africa (excluding high income),private,750000.0,"US$750,000"
Pakistan,Africa (excluding high income),bilateral,12189000.0,US$12.2 million
Bahrain,Africa (excluding high income),private,514350325.7,US$514.4 million
Romania,Africa (excluding high income),bilateral,134839000.0,US$134.8 million
Eastern & Southern African Trade & Dev. Bank (TDB),Africa (excluding high income),multilateral,2234218793.4,US$2.2 billion
Norway,Africa (excluding high income),bilateral,74598962.9,US$74.6 million
Qatar,Africa (excluding high income),bilateral,91599500.0,US$91.6 million
Turkiye,Africa (excluding high income),private,0.0,US$0
Turkiye,Africa (excluding high income),bilateral,631942839.0,US$631.9 million
United States,Africa (excluding high income),bilateral,1161217978.2,US$1.2 billion
European Investment Bank,Africa (excluding high income),multilateral,11581801967.7,US$11.6 billion
Switzerland,Africa (excluding high income),bilateral,122406505.9,US$122.4 million
Switzerland,Africa (excluding high income),private,2633021569.0,US$2.6 billion
Economic Community of West African States (ECOWAS),Africa (excluding high income),multilateral,755032372.6999999,US$755.0 million
Nordic Investment Bank,Africa (excluding high income),multilateral,31829065.6,US$31.8 million
Bulgaria,Africa (excluding high income),bilateral,79398000.0,US$79.4 million
United States,Africa (excluding high income),private,5603055215.8,US$5.6 billion
Africa Finance Corporation,Africa (excluding high income),private,1222875733.0,US$1.2 billion
Multiple Lenders,Africa (excluding high income),private,20055990544.2,US$20.1 billion
Hong Kong,Africa (excluding high income),private,614841000.0,US$614.8 million
International Finance Corporation,Africa (excluding high income),multilateral,254750000.0,US$254.8 million
International Bank for Economic Cooperation (IBEC),Africa (excluding high income),multilateral,0.0,US$0
Arab African International Bank,Africa (excluding high income),multilateral,31149000.0,US$31.1 million
"Iran, Islamic Republic Of",Africa (excluding high income),bilateral,189508654.0,US$189.5 million
Iraq,Africa (excluding high income),bilateral,387374867.1,US$387.4 million
Ireland,Africa (excluding high income),bilateral,1643460.6,US$1.6 million
Ireland,Africa (excluding high income),private,729582471.6,US$729.6 million
Islamic Dev. Bank,Africa (excluding high income),multilateral,10454166157.199999,US$10.5 billion
Italy,Africa (excluding high income),private,2037041974.9,US$2.0 billion
Italy,Africa (excluding high income),bilateral,1682462838.9,US$1.7 billion
Arab Monetary Fund,Africa (excluding high income),multilateral,2138163904.2,US$2.1 billion
Hungary,Africa (excluding high income),bilateral,740986027.2,US$741.0 million
African Export-Import Bank,Africa (excluding high income),multilateral,10344541126.1,US$10.3 billion
Hungary,Africa (excluding high income),private,5783000.0,US$5.8 million
Angola,Africa (excluding high income),bilateral,400478000.0,US$400.5 million
Kuwait,Africa (excluding high income),bilateral,9479697969.9,US$9.5 billion
Israel,Africa (excluding high income),private,4214137606.9,US$4.2 billion
India,Africa (excluding high income),bilateral,4539743880.7,US$4.5 billion
India,Africa (excluding high income),private,19772264.900000002,US$19.8 million
Algeria,Africa (excluding high income),bilateral,768641377.3,US$768.6 million
World Bank-IDA                         ,Africa (excluding high income),multilateral,110045093000.0,US$110.0 billion
Kuwait,Africa (excluding high income),private,333370211.79999995,US$333.4 million
Arab Bank for Economic Dev. in Africa (BADEA),Africa (excluding high income),multilateral,2270352969.1,US$2.3 billion
Arab Bank for Economic Dev. in Africa (BADEA),Africa (excluding high income),private,0.0,US$0
International Fund for Agricultural Dev.,Africa (excluding high income),multilateral,3911099352.4,US$3.9 billion
Japan,Africa (excluding high income),private,1777631605.8,US$1.8 billion
West African Development Bank - BOAD,Africa (excluding high income),multilateral,2838280334.0,US$2.8 billion
Japan,Africa (excluding high income),bilateral,8317120725.6,US$8.3 billion
Greece,Africa (excluding high income),bilateral,2032000.0,US$2.0 million
African Dev. Bank         ,Africa (excluding high income),multilateral,47102010713.1,US$47.1 billion
Greece,Africa (excluding high income),private,446000.0,"US$446,000"
World Bank-MIGA,Africa (excluding high income),multilateral,302270032.8,US$302.3 million
Arab Fund for Economic & Social Development,Africa (excluding high income),multilateral,6719146848.9,US$6.7 billion
World Trade Organization,Africa (excluding high income),multilateral,39166530.0,US$39.2 million
"Germany, Fed. Rep. of",Africa (excluding high income),private,4292404781.9,US$4.3 billion
"Venezuela, Republic Bolivarian",Africa (excluding high income),bilateral,18749000.0,US$18.7 million
"Germany, Fed. Rep. of",Africa (excluding high income),bilateral,9304359796.2,US$9.3 billion
Argentina,Africa (excluding high income),bilateral,10408000.0,US$10.4 million
"Korea, Republic of",Africa (excluding high income),bilateral,2420677665.8,US$2.4 billion
"Korea, Republic of",Africa (excluding high income),private,5146859.2,US$5.1 million
World Bank-IBRD                         ,Africa (excluding high income),multilateral,40828886000.0,US$40.8 billion
European Bank for Reconstruction and Dev. (EBRD),Albania,multilateral,234975038.2,US$235.0 million
Kuwait,Albania,bilateral,63468095.5,US$63.5 million
United Kingdom,Albania,private,207780000.0,US$207.8 million
United Arab Emirates,Albania,bilateral,22499387.3,US$22.5 million
European Investment Bank,Albania,multilateral,103237570.8,US$103.2 million
"Korea, Republic of",Albania,bilateral,9858435.4,US$9.9 million
Austria,Albania,bilateral,5638110.3,US$5.6 million
World Bank-IBRD                         ,Albania,multilateral,967091000.0,US$967.1 million
European Union,Albania,multilateral,187002000.0,US$187.0 million
Bondholders,Albania,private,1453254876.0,US$1.5 billion
Italy,Albania,bilateral,143478323.4,US$143.5 million
Italy,Albania,private,107049294.89999999,US$107.0 million
OPEC Fund for International Dev.,Albania,multilateral,32988000.0,US$33.0 million
"Germany, Fed. Rep. of",Albania,private,1420176.3,US$1.4 million
"Germany, Fed. Rep. of",Albania,bilateral,351759073.2,US$351.8 million
Greece,Albania,bilateral,122590.2,"US$122,590"
Council of Europe,Albania,multilateral,109810528.2,US$109.8 million
Japan,Albania,bilateral,40727737.0,US$40.7 million
World Bank-IDA                         ,Albania,multilateral,338405000.0,US$338.4 million
Austria,Albania,private,21318228.0,US$21.3 million
Islamic Dev. Bank,Albania,multilateral,386808067.3,US$386.8 million
International Fund for Agricultural Dev.,Albania,multilateral,20594894.0,US$20.6 million
Saudi Arabia,Albania,bilateral,44676266.7,US$44.7 million
China,Albania,bilateral,1858000.0,US$1.9 million
France,Albania,bilateral,219041676.0,US$219.0 million
Spain,Albania,bilateral,6877000.0,US$6.9 million
African Dev. Bank         ,Algeria,multilateral,717117549.5,US$717.1 million
Belgium,Algeria,bilateral,15446365.2,US$15.4 million
China,Algeria,bilateral,64137564.0,US$64.1 million
Japan,Algeria,bilateral,2821576.8,US$2.8 million
Saudi Arabia,Algeria,bilateral,1093600.0,US$1.1 million
Canada,Algeria,bilateral,85595.0,"US$85,595"
France,Algeria,bilateral,19218611.1,US$19.2 million
Italy,Algeria,bilateral,31591910.1,US$31.6 million
"Germany, Fed. Rep. of",Algeria,bilateral,38439.3,"US$38,439"
Multiple Lenders,Angola,private,1580000000.0,US$1.6 billion
Italy,Angola,private,559164030.3,US$559.2 million
Italy,Angola,bilateral,14961198.9,US$15.0 million
Netherlands,Angola,private,620615788.1,US$620.6 million
Luxembourg,Angola,private,30763906.8,US$30.8 million
Portugal,Angola,private,543516031.2,US$543.5 million
Belgium,Angola,private,48062000.0,US$48.1 million
"Korea, Republic of",Angola,bilateral,212779000.0,US$212.8 million
South Africa,Angola,private,3931000.0,US$3.9 million
Serbia,Angola,bilateral,7546000.0,US$7.5 million
United States,Angola,private,1643000.0,US$1.6 million
World Bank-IDA                         ,Angola,multilateral,283421000.0,US$283.4 million
Egypt,Angola,private,76550000.0,US$76.5 million
South Africa,Angola,bilateral,197355626.2,US$197.4 million
United States,Angola,bilateral,5467000.0,US$5.5 million
Canada,Angola,bilateral,244115000.0,US$244.1 million
Canada,Angola,private,0.0,US$0
Netherlands,Angola,bilateral,1684056.9,US$1.7 million
Portugal,Angola,bilateral,251441000.0,US$251.4 million
International Fund for Agricultural Dev.,Angola,multilateral,7340973.8,US$7.3 million
Mauritius,Angola,private,21874039.5,US$21.9 million
