counterpart_name,entity_name,category,value,value_annotation
Italy,Iraq,bilateral,259026791.2,US$259.0 million
Italy,Iraq,private,298886000.0,US$298.9 million
"Germany, Fed. Rep. of",Iraq,private,235281970.5,US$235.3 million
France,Iraq,bilateral,681334728.5,US$681.3 million
France,Iraq,private,93801000.0,US$93.8 million
Kuwait,Iraq,bilateral,28576067.5,US$28.6 million
Canada,Iraq,bilateral,29892000.0,US$29.9 million
Japan,Iraq,private,181321000.0,US$181.3 million
Japan,Iraq,bilateral,4657566242.2,US$4.7 billion
United States,Iraq,bilateral,3177000.0,US$3.2 million
Russian Federation,Iraq,bilateral,426903000.0,US$426.9 million
Hungary,Iraq,bilateral,12412000.0,US$12.4 million
Australia,Iraq,bilateral,54918000.0,US$54.9 million
Switzerland,Iraq,private,7360000.0,US$7.4 million
Ireland,Iraq,private,57688000.0,US$57.7 million
Serbia,Iraq,bilateral,67175000.0,US$67.2 million
"Korea, Republic of",Iraq,bilateral,10879000.0,US$10.9 million
Sweden,Iraq,bilateral,14977000.0,US$15.0 million
Netherlands,Iraq,private,17028000.0,US$17.0 million
Finland,Iraq,bilateral,130714000.0,US$130.7 million
World Bank-IBRD                         ,Iraq,multilateral,2809857000.0,US$2.8 billion
Bosnia-Herzegovina,Iraq,private,28444000.0,US$28.4 million
Sweden,Iraq,private,72498000.0,US$72.5 million
Islamic Dev. Bank,Iraq,multilateral,0.0,US$0
Arab Monetary Fund,Iraq,multilateral,1356300.0,US$1.4 million
Netherlands,Iraq,bilateral,14269000.0,US$14.3 million
"Korea, Republic of",Iraq,private,185418000.0,US$185.4 million
Romania,Iraq,bilateral,136043000.0,US$136.0 million
Canada,Jamaica,bilateral,2562000.0,US$2.6 million
Japan,Jamaica,bilateral,2598000.0,US$2.6 million
United States,Jamaica,bilateral,756000.0,"US$756,000"
Kuwait,Jamaica,bilateral,0.0,US$0
Bondholders,Jamaica,private,4780261626.9,US$4.8 billion
Netherlands,Jamaica,bilateral,262841.7,"US$262,842"
Caribbean Dev. Bank,Jamaica,multilateral,136599000.0,US$136.6 million
European Investment Bank,Jamaica,multilateral,236869.2,"US$236,869"
European Development Fund (EDF),Jamaica,multilateral,2492321.1,US$2.5 million
OPEC Fund for International Dev.,Jamaica,multilateral,5518000.0,US$5.5 million
Belgium,Jamaica,bilateral,1004616.3,US$1.0 million
World Bank-IBRD                         ,Jamaica,multilateral,965843000.0,US$965.8 million
China,Jamaica,bilateral,532018178.8,US$532.0 million
Nordic Development Fund,Jamaica,multilateral,3050370.9,US$3.1 million
European Economic Community (EEC),Jamaica,multilateral,11518284.3,US$11.5 million
Inter-American Dev. Bank      ,Jamaica,multilateral,1494892000.0,US$1.5 billion
"Germany, Fed. Rep. of",Jamaica,bilateral,4402858.2,US$4.4 million
"Korea, Republic of",Jordan,bilateral,144005629.3,US$144.0 million
"Germany, Fed. Rep. of",Jordan,bilateral,918679530.9,US$918.7 million
Japan,Jordan,bilateral,1096061315.1,US$1.1 billion
